Order	Song	Info	Concert	Date
3	Hot Dog		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
5	My Generation		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
6	Re-Arranged	(preceded by 'Stuck' tease, until the bridge)	Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
7	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
8	Dirty Rotten Bizkit		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
9	Boiler		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
10	My Way		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
11	Nookie		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
12	Faith	(George Michael cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
13	Take a Look Around		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
14	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
15	Break Stuff		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
1	Barnacle	(first time opening a show)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
2	9 Teen 90 Nine		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
3	Show Me What You Got		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
4	I'm Broke	(without the final chorus)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
5	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
6	Dirty Rotten Bizkit		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
7	Rollin' (Air Raid Vehicle)		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
8	Hot Dog		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
9	My Generation		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
10	Covers Medley	(Master of Puppets/Seek & Destroy/South of Heaven/Holy Wars)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
11	Gold Cobra		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
12	My Way	(with extended intro)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
13	Nookie	(until the second chorus)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
14	Full Nelson	(with a fan)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
15	Break Stuff		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
16	Behind Blue Eyes	(The Who cover)	Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
17	Take a Look Around		Limp Bizkit at Toyosu PIT, Tokyo, Japan	2023-11-21
1	Out of Style		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
2	Dirty Rotten Bizkit	(followed by 'Master of Puppets' snippet)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
3	Hot Dog		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
5	Dad Vibes		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
6	My Generation		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
7	Livin' It Up		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
8	My Way		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
9	Nookie	(until the second chorus)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
10	Full Nelson		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
11	Boiler		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
12	Faith	(George Michael cover)	Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
13	Counterfeit / Pollution		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
14	Take a Look Around		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
15	Break Stuff		Limp Bizkit at TOKYO GARDEN THEATER, Tokyo, Japan	2023-11-20
1	Break Stuff	(Included a riff from Creeping Death)	Limp Bizkit at Aftershock 2023	2023-10-06
2	Hot Dog		Limp Bizkit at Aftershock 2023	2023-10-06
3	My Generation	(with extended intro)	Limp Bizkit at Aftershock 2023	2023-10-06
4	Livin' It Up		Limp Bizkit at Aftershock 2023	2023-10-06
5	Rollin' (Air Raid Vehicle)	(preceded by 'Master of Puppets' snippet)	Limp Bizkit at Aftershock 2023	2023-10-06
6	Nookie	(with extended intro)	Limp Bizkit at Aftershock 2023	2023-10-06
7	Full Nelson	(A young fan named "Ronnie" was invite on stage to sing with Fred)	Limp Bizkit at Aftershock 2023	2023-10-06
8	My Way		Limp Bizkit at Aftershock 2023	2023-10-06
9	Thieves	(Ministry cover) (Instrumental)	Limp Bizkit at Aftershock 2023	2023-10-06
10	Take a Look Around		Limp Bizkit at Aftershock 2023	2023-10-06
11	Break Stuff	(Fred Durst wanted to open and close set with Break Stuff)	Limp Bizkit at Aftershock 2023	2023-10-06
1	Blind	(Korn cover) (Wes Borland on vocals, Fred on guitar, Sam on turntables, John on bass, Lethal on drums)	Limp Bizkit at Louder than Life 2023	2023-09-22
2	Show Me What You Got		Limp Bizkit at Louder than Life 2023	2023-09-22
3	Thieves	(Ministry cover) (Instrumental)	Limp Bizkit at Louder than Life 2023	2023-09-22
4	Hot Dog		Limp Bizkit at Louder than Life 2023	2023-09-22
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Louder than Life 2023	2023-09-22
6	My Generation		Limp Bizkit at Louder than Life 2023	2023-09-22
7	Livin' It Up		Limp Bizkit at Louder than Life 2023	2023-09-22
8	My Way		Limp Bizkit at Louder than Life 2023	2023-09-22
9	Take a Look Around	(with Sam Matlock) (Sam came out before 2nd verse)	Limp Bizkit at Louder than Life 2023	2023-09-22
10	Nookie		Limp Bizkit at Louder than Life 2023	2023-09-22
11	Full Nelson	(with Milkie Way)	Limp Bizkit at Louder than Life 2023	2023-09-22
12	Break Stuff		Limp Bizkit at Louder than Life 2023	2023-09-22
1	Out of Style		Limp Bizkit at Rocklahoma 2023	2023-09-02
2	Dirty Rotten Bizkit		Limp Bizkit at Rocklahoma 2023	2023-09-02
3	Hot Dog		Limp Bizkit at Rocklahoma 2023	2023-09-02
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Rocklahoma 2023	2023-09-02
5	My Generation		Limp Bizkit at Rocklahoma 2023	2023-09-02
6	Take a Look Around		Limp Bizkit at Rocklahoma 2023	2023-09-02
7	My Way		Limp Bizkit at Rocklahoma 2023	2023-09-02
8	Boiler		Limp Bizkit at Rocklahoma 2023	2023-09-02
